%time,field.x,field.y,field.z
1583762877948790972,-0.041181396695,-0.00970463809297,-0.0442481279311
1583762878047417413,-0.0407233839525,-0.00964364285457,-0.0656239589815
1583762878148514692,-0.0408810520278,-0.00961130820136,-0.0874955125871
1583762878247497193,-0.041059746784,-0.00933274086391,-0.109017378905
1583762878348200767,-0.0408742730391,-0.00915430100465,-0.130423413688
1583762878447500482,-0.0409511817396,-0.00887586800253,-0.152097819756
1583762878548819346,-0.0409157049266,-0.00858690198903,-0.173660592924
1583762878647524324,-0.0410159923396,-0.00830897012962,-0.195133273973
1583762878747886790,-0.0409886161515,-0.00814703423394,-0.216859713189
1583762878847937081,-0.0410794399739,-0.00811210042538,-0.238123846269
1583762878948616499,-0.0411584141908,-0.00820661251201,-0.259657283911
1583762879047943835,-0.0408769192459,-0.00824757076064,-0.2809664096
1583762879149260875,-0.0408755263933,-0.0080925169692,-0.302933235698
1583762879247660128,-0.0409686665894,-0.00818553611744,-0.324208062895
1583762879348442055,-0.040718791357,-0.0081077548259,-0.345989481293
1583762879447712514,-0.0407499975426,-0.00856387899753,-0.367318798745
1583762879547935421,-0.0403897604056,-0.00845958472262,-0.389208636543
1583762879647637820,-0.0403438571031,-0.00865978049282,-0.410994569972
1583762879748234536,-0.0403438571031,-0.00865978049282,-0.410994569972
1583762879847956714,-0.0403803337549,-0.00907262143937,-0.453762255329
1583762879949106992,-0.0401610694583,-0.00948155674861,-0.475463435565
1583762880047895335,-0.0401159026583,-0.00967575517014,-0.496959135472
1583762880148778523,-0.0399843041666,-0.00972208142371,-0.518517242655
1583762880247689172,-0.0397071796422,-0.00985089583117,-0.540018437795
1583762880349260118,-0.0395827510345,-0.00989275517825,-0.561585664999
1583762880447867661,-0.0394275031823,-0.0100547634517,-0.583370276345
1583762880549368467,-0.0391943065936,-0.0100465923601,-0.604422039223
1583762880648437453,-0.0388535338481,-0.0103646253669,-0.618511439024
1583762880748723950,-0.0388256391974,-0.0108674316396,-0.624525454117
1583762880847644649,-0.0390161648533,-0.0118646752693,-0.626281604062
1583762880949545525,-0.0392533175603,-0.0127227658958,-0.626803219749
1583762881048842002,-0.0394878445527,-0.0131895069416,-0.627062460571
1583762881149437713,-0.0395680098642,-0.0137312003795,-0.627167352239
1583762881247399543,-0.0398002242414,-0.0138064612681,-0.627164259327
1583762881348050931,-0.0399513021539,-0.0133456726321,-0.627326244102
1583762881447668128,-0.0401380319014,-0.0127672764059,-0.627452744046
1583762881548668617,-0.0401710709549,-0.0122673576427,-0.627578708134
1583762881648373188,-0.0402056121135,-0.0117653484497,-0.627588589699
1583762881748681419,-0.0404723481371,-0.0113386550974,-0.627595656029
1583762881847743783,-0.0408144075219,-0.0106797911506,-0.627607163806
1583762881948185813,-0.040811299928,-0.0102938716391,-0.627615056655
1583762882047821360,-0.0408081953859,-0.00990795131247,-0.627622948291
1583762882148728676,-0.0408835218288,-0.00967577863407,-0.62762732176
1583762882247517348,-0.0411126040252,-0.00936518225488,-0.627632598768
1583762882347481098,-0.041150267934,-0.00924909664931,-0.627634811193
1583762882447238554,-0.0413806490728,-0.00893626930945,-0.627524086674
1583762882548542240,-0.0413385907513,-0.00866866986547,-0.627645938871
1583762882647761222,-0.04129783231,-0.00839883586989,-0.627651688281
1583762882748237191,-0.0413342386261,-0.00828499383687,-0.627770016319
1583762882847901282,-0.041371910688,-0.0081689133905,-0.627772261814
1583762882948676380,-0.041525666886,-0.00809050410478,-0.627773261789
1583762883047552507,-0.0416010116222,-0.00785834431722,-0.627777786682
1583762883148211484,-0.0417170948691,-0.00789601561766,-0.627776544476
1583762883247632902,-0.0416794226232,-0.00801209519921,-0.627774273818
1583762883348280460,-0.041603278547,-0.00785958441456,-0.627815461451
1583762883448021524,-0.041603278547,-0.00785958441456,-0.627815461451
1583762883548371137,-0.0419095733972,-0.0077050523803,-0.627933625434
1583762883647859003,-0.041793489172,-0.00766737042137,-0.627934860406
1583762883748175828,-0.0419472564641,-0.00758897177339,-0.627935915219
1583762883848084511,-0.0419484874863,-0.00758667975435,-0.627819829147
1583762883948367296,-0.0417924401564,-0.00766385638379,-0.627781098911
1583762884047720192,-0.0418313392586,-0.00754549117334,-0.627667298044
1583762884148184648,-0.0418301130554,-0.00754777717635,-0.62778338268
1583762884248103673,-0.0416386843145,-0.00774226460809,-0.627780055684
1583762884348160925,-0.0416763573677,-0.00762618458064,-0.627782329065
1583762884447619161,-0.0416386843145,-0.00774226460809,-0.627780055684
1583762884547929793,-0.0416409556101,-0.00774349868024,-0.62781773067
1583762884647719507,-0.0416397212779,-0.00774576990183,-0.627933817637
1583762884748113171,-0.0416761762046,-0.00763196358899,-0.628052173374
1583762884847512544,-0.0417150882528,-0.00751360711148,-0.62793836874
1583762884948613987,-0.0416774047283,-0.00762968822248,-0.627936091007
1583762885048087390,-0.0416761762046,-0.00763196358899,-0.628052173374
1583762885148998069,-0.0417138657547,-0.00751588685182,-0.628054450878
1583762885247589848,-0.041829945598,-0.00755357532711,-0.628053226085
1583762885348408521,-0.0418287185089,-0.00755586086354,-0.628169303632
1583762885448043743,-0.0417933043863,-0.00767316627607,-0.628204717755
1583762885548712660,-0.0416772226623,-0.00763546765583,-0.62820594902
1583762885647630052,-0.0415965673488,-0.00748047162647,-0.628171749284
1583762885748505959,-0.0415965673488,-0.00748047162647,-0.628171749284
1583762885847351617,-0.0415965673488,-0.00748047162647,-0.628171749284
1583762885948189722,-0.0415965673488,-0.00748047162647,-0.628171749284
1583762886047579391,-0.0415192511938,-0.00733018388044,-0.628329013322
1583762886147458485,-0.0413654667733,-0.00740855265691,-0.628327956067
1583762886248011085,-0.0414815445488,-0.00744625826611,-0.62832674373
1583762886348136611,-0.041480329916,-0.00744852549498,-0.628442819209
1583762886447623443,-0.0415180425849,-0.00733245548555,-0.628445088575
1583762886548403551,-0.0416341155421,-0.0073701671312,-0.62844387767
1583762886648168644,-0.0416341155421,-0.0073701671312,-0.62844387767
1583762886748804179,-0.0415192511938,-0.00733018388044,-0.628329013322
1583762886848101747,-0.0416353285254,-0.00736788950302,-0.628327802635
1583762886947976206,-0.0416353285254,-0.00736788950302,-0.628327802635
1583762887047269484,-0.0417124760658,-0.00752394804759,-0.628440380977
1583762887148356617,-0.0416747640692,-0.0076400176821,-0.628438103939
1583762887247904911,-0.0416370521466,-0.00775608788495,-0.628435831266
1583762887348131931,-0.0416747640692,-0.0076400176821,-0.628438103939
1583762887447750132,-0.0415574656272,-0.00760457542358,-0.628555402381
1583762887549068341,-0.0415597343354,-0.00760580085884,-0.628593122707
1583762887647524323,-0.0415207800694,-0.00772413721667,-0.628706929061
1583762887748515625,-0.0416745791082,-0.00764579682206,-0.62870796748
1583762887847672940,-0.0415585086423,-0.00760806949604,-0.62870919547
1583762887948651592,-0.0415585086423,-0.00760806949604,-0.62870919547
1583762888047414480,-0.0415585086423,-0.00760806949604,-0.62870919547
1583762888148205528,-0.0414801668325,-0.00745427452869,-0.628712683838
1583762888247774957,-0.0415962372883,-0.00749200234354,-0.628711466247
1583762888348523073,-0.041557282732,-0.00761033790534,-0.628825263856
1583762888447359913,-0.0414034816027,-0.00768866791112,-0.628824227528
1583762888548783393,-0.0412509093634,-0.00776475024937,-0.628707133978
1583762888647583488,-0.041018766012,-0.0076892949258,-0.628709583414
1583762888749308609,-0.0410971091134,-0.00784309097826,-0.628706121305
1583762888847895776,-0.0410971091134,-0.00784309097826,-0.628706121305
1583762888948903164,-0.0412521383505,-0.00776250241277,-0.628591060328
1583762889047544549,-0.0411348377947,-0.00772702270645,-0.628708360884
1583762889148555129,-0.041288638032,-0.00764868234848,-0.628709383957
1583762889247747029,-0.0411348377947,-0.00772702270645,-0.628708360884
1583762889348511044,-0.0411348377947,-0.00772702270645,-0.628708360884
1583762889448139134,-0.0410971091134,-0.00784309097826,-0.628706121305
1583762889549146018,-0.0410971091134,-0.00784309097826,-0.628706121305
1583762889647398895,-0.0412131809094,-0.00788081827311,-0.628704888376
1583762889748433906,-0.0412134069529,-0.00787509659085,-0.628435022133
1583762889848423530,-0.0412541910354,-0.00773735582841,-0.627395562405
1583762889950061192,-0.041572280021,-0.00753349377342,-0.6251196458
1583762890047600567,-0.0416231428454,-0.00775273221991,-0.62268210345
1583762890149850684,-0.0414065055907,-0.00799984375612,-0.619589108894
1583762890248325446,-0.0419946125766,-0.00756500126689,-0.597314772383
1583762890349509888,-0.0420102577304,-0.00777500025379,-0.577803322155
1583762890447564467,-0.0423286887945,-0.00736821057505,-0.555286156259
1583762890548379697,-0.0425777932219,-0.00721214446302,-0.533753350661
1583762890648686873,-0.0428250646781,-0.00706017792535,-0.512638060893
1583762890749041920,-0.0429586888644,-0.00686813527799,-0.49123124276
1583762890847975983,-0.0430911887608,-0.00666589677342,-0.469469364227
1583762890948317553,-0.0430525267152,-0.0066771509322,-0.447908059822
1583762891047478533,-0.0430955896123,-0.00633579160784,-0.426527142625
1583762891148378652,-0.0430187255354,-0.0059574790698,-0.404576436945
1583762891247833476,-0.0431550168153,-0.00575726989748,-0.383052870264
1583762891350021240,-0.0434079305664,-0.00558201867325,-0.361791808499
1583762891447352231,-0.0432266255959,-0.0050561071079,-0.339481627709
1583762891548378779,-0.0431001420896,-0.00494097782704,-0.31832770639
1583762891647584674,-0.0432707112344,-0.00449813563454,-0.296958075578
1583762891748230768,-0.0434040435037,-0.00429220774898,-0.275498972056
1583762891847653418,-0.0434033706405,-0.00418247208173,-0.253707905059
1583762891949611980,-0.0432958018054,-0.00393799803498,-0.231935221764
1583762892047950366,-0.0432849718406,-0.0039608173557,-0.210562894266
1583762892148789259,-0.0431567226762,-0.00396763152425,-0.188961150163
1583762892247825275,-0.0431452815714,-0.00410994498562,-0.167380122383
1583762892347576104,-0.0430208622054,-0.00424186795806,-0.145698809814
1583762892447387111,-0.0430410481017,-0.00414385185577,-0.124161987642
1583762892548816537,-0.0430479920541,-0.00439617391439,-0.101901327394
1583762892647353287,-0.0430717727205,-0.00451923987684,-0.0792890605863
1583762892749220064,-0.0432180904464,-0.00462414306499,-0.0613271111326
1583762892847757008,-0.0429929834184,-0.00433973239395,-0.0541257282244
1583762892948125729,-0.0425256292787,-0.00365671955823,-0.0513307588282
1583762893047830226,-0.0429205474935,-0.0026456518963,-0.0492767164501
1583762893148609741,-0.0429343156352,-0.0021340774741,-0.0481891000418
1583762893248305299,-0.0429355619652,-0.00199879850766,-0.0475787602855
1583762893348991924,-0.0428112295562,-0.00211007621648,-0.0472103187846
1583762893448341122,-0.0429219474195,-0.00259836104543,-0.0470776593618
1583762893548497336,-0.0431573537908,-0.00297011462272,-0.0470693301733
1583762893648107573,-0.0433898954238,-0.00346386882267,-0.0470582709935
1583762893748572586,-0.0436224415767,-0.00395761729145,-0.0470470970457
1583762893847786490,-0.0438573270799,-0.00445436422296,-0.0471606838598
1583762893948681957,-0.0439707249329,-0.00482326557808,-0.0471523193993
1583762894047616541,-0.0439621145556,-0.00518929469692,-0.0471442931209
1583762894148882275,-0.0438310935128,-0.00555512177579,-0.0472586835565
1583762894247639532,-0.0438253418516,-0.00579914087138,-0.0472533515306
1583762894348252009,-0.0439387283689,-0.00616804421888,-0.0472449166505
1583762894447327509,-0.0441770062488,-0.0064178098611,-0.047238663536
