%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1583762870185832628,0.0,0.0,0.0,0.0,0.0,0.0
1583762870286108800,0.0,0.0,0.0,0.0,0.0,0.0
1583762870385733003,0.0,0.0,0.0,0.0,0.0,0.0
1583762870486062706,0.0,0.0,0.0,0.0,0.0,0.0
1583762870585710417,0.0,0.0,0.0,0.0,0.0,0.0
1583762870686051667,0.0,0.0,0.0,0.0,0.0,0.0
1583762870785758296,0.0,0.0,0.0,0.0,0.0,0.0
1583762870887724328,0.0,0.0,0.0,0.0,0.0,0.0
1583762870985742712,0.0,0.0,0.0,0.0,0.0,0.0
1583762871086117097,0.0,0.0,0.0,0.0,0.0,0.0
1583762871185771345,0.0,0.0,0.0,0.0,0.0,0.0
1583762871286146792,0.0,0.0,0.0,0.0,0.0,0.0
1583762871385850935,0.0,0.0,0.0,0.0,0.0,0.0
1583762871486145255,0.0,0.0,0.0,0.0,0.0,0.0
1583762871585781547,0.0,0.0,0.0,0.0,0.0,0.0
1583762871686135198,0.0,0.0,0.0,0.0,0.0,0.0
1583762871785769955,0.0,0.0,0.0,0.0,0.0,0.0
1583762871887646231,0.0,0.0,0.0,0.0,0.0,0.0
1583762871985696079,0.0,0.0,0.0,0.0,0.0,0.0
1583762872086119294,0.0,0.0,0.0,0.0,0.0,0.0
1583762872185878804,0.0,0.0,0.0,0.0,0.0,0.0
1583762872285943108,0.0,0.0,0.0,0.0,0.0,0.0
1583762872385800927,0.0,0.0,0.0,0.0,0.0,0.0
1583762872486178519,0.0,0.0,0.0,0.0,0.0,0.0
1583762872585766668,0.0,0.0,0.0,0.0,0.0,0.0
1583762872686037076,0.0,0.0,0.0,0.0,0.0,0.0
1583762872785758294,0.0,0.0,0.0,0.0,0.0,0.0
1583762872886107201,0.0,0.0,0.0,0.0,0.0,0.0
1583762872985732937,0.0,0.0,0.0,0.0,0.0,0.0
1583762873086103378,0.0,0.0,0.0,0.0,0.0,0.0
1583762873185731227,0.0,0.0,0.0,0.0,0.0,0.0
1583762873286056213,0.0,0.0,0.0,0.0,0.0,0.0
1583762873385743763,0.0,0.0,0.0,0.0,0.0,0.0
1583762873486192266,0.0,0.0,0.0,0.0,0.0,0.0
