%time,field.x,field.y,field.theta
1583763067838754234,1.20797699383,0.110977806076,-0.0152873107983
1583763067928455992,1.20797740338,0.111600235291,-0.0156997604722
1583763068040501334,1.20843273235,0.110533765453,-0.0155018158204
1583763068131945794,1.20826735348,0.111713696763,-0.0158324081652
1583763068233332843,1.20829444052,0.109030785624,-0.0159894499671
1583763068341261082,1.20851287091,0.110047893695,-0.016081423792
1583763068434423958,1.20853496238,0.10998339768,-0.0158338700806
1583763068533923495,1.20761727818,0.106350940951,-0.0145221404077
1583763068627647495,1.20745410421,0.107428232307,-0.0156478599363
1583763068729212500,1.20814121884,0.107483144223,-0.0154164498193
1583763068838496389,1.20765961828,0.109466637127,-0.0158807284393
1583763068941082228,1.20778782897,0.110061157326,-0.0160790259991
1583763069040716003,1.20775077317,0.105421272218,-0.0157204501351
1583763069137081237,1.20758411914,0.108889402854,-0.0160280018165
1583763069239838338,1.20761179922,0.107470328596,-0.0153459829997
1583763069341236670,1.20730786007,0.108543941227,-0.014534311508
1583763069455883567,1.20757383127,0.109128333906,-0.0153424846508
1583763069541315896,1.2069152062,0.109504352728,-0.0151567872454
1583763069632137098,1.20674970229,0.109249875323,-0.0148521385283
1583763069747271505,1.20692946676,0.111214109216,-0.0150671644684
1583763069847738060,1.20680018148,0.115684254545,-0.0156156470849
1583763069940092066,1.20736752468,0.112722729294,-0.0149995429446
1583763070052941046,1.20707560831,0.112603765687,-0.0154280050628
1583763070150388664,1.20631256555,0.114128838465,-0.0156463010513
1583763070242573831,1.20637808568,0.114342353328,-0.0159185104442
1583763070333702723,1.20639064557,0.114967062636,-0.0149830494492
1583763070441781452,1.20590426942,0.115205095682,-0.0144256232605
1583763070534326034,1.20649424839,0.115065615113,-0.0149950567088
1583763070649974893,1.20518928657,0.11331362734,-0.0145980483071
1583763070741633777,1.20631535279,0.116065300082,-0.0145686893309
1583763070839923090,1.20593169394,0.113145602074,-0.0143604071775
1583763070939252329,1.20602147732,0.110530336471,-0.014544339483
1583763071040062234,1.20637370247,0.109133116194,-0.0122957415031
1583763071133417872,1.20617660124,0.104764761719,0.00175068231733
1583763071248716340,1.20640350073,0.0884484601016,0.0201644283415
1583763071342748261,1.20720592931,0.0772789118204,0.0404740189998
1583763071441232256,1.20701189121,0.0683873178189,0.062062442471
1583763071537378294,1.20642364357,0.0600899850771,0.0847218254562
1583763071642655317,1.20763424612,0.0412208579464,0.105671818589
1583763071736331863,1.20828011044,0.0295475241458,0.127366041495
1583763071852399290,1.20763595682,0.0177275655795,0.145018289244
1583763071941674600,1.20839295085,0.0130526505504,0.169962560773
1583763072043055723,1.20879308277,-0.00182872501779,0.190638220825
1583763072139766676,1.20816131304,-0.0158717094211,0.211470058206
1583763072241245877,1.20928853529,-0.0330010867036,0.23223321699
1583763072336303924,1.21020146616,-0.0485551269569,0.253755492554
1583763072442089344,1.21006694667,-0.0642463370162,0.274859216785
1583763072538993676,1.21043614374,-0.0798131198983,0.296324472899
1583763072643636735,1.21118964835,-0.0973520094155,0.318374364217
1583763072736929550,1.21207047896,-0.106772998676,0.3403153397
1583763072843450447,1.21254630037,-0.118755037228,0.361471030818
1583763072939612317,1.21226328818,-0.130152725611,0.382344927756
1583763073051035764,1.21270517974,-0.13734485533,0.403873378801
1583763073142389549,1.21363952053,-0.150470908598,0.426306101408
1583763073238805535,1.21449180455,-0.162984354122,0.446941923842
1583763073338710550,1.21426901166,-0.180253721463,0.468411719318
1583763073441309031,1.21553228399,-0.194813696619,0.489589948907
1583763073540844437,1.21547377612,-0.203499701969,0.510161477335
1583763073642445305,1.21478220893,-0.205317606743,0.530383114732
1583763073742368993,1.21519963443,-0.208281624599,0.552386623929
1583763073840593225,1.2152769867,-0.207187037365,0.572421683551
1583763073940539487,1.21561017719,-0.211962273094,0.59338617618
1583763074044565804,1.213882658,-0.210147947444,0.604963289373
1583763074140097936,1.21357826001,-0.208047180826,0.608159780425
1583763074251504776,1.21428241349,-0.208386242402,0.611162549266
1583763074339311608,1.2152348264,-0.211020663557,0.612928183738
1583763074438201816,1.21450172844,-0.210669379634,0.61279879726
1583763074554074114,1.21435996714,-0.212086119894,0.613057199484
1583763074640817692,1.21476650873,-0.20737327358,0.613486762318
1583763074742064619,1.21419371189,-0.207232915302,0.613108244922
1583763074838640430,1.21432919476,-0.20801418651,0.613629419196
1583763074939062979,1.21598484377,-0.209436653813,0.614841936648
1583763075041240848,1.21577893181,-0.206397491893,0.614059322949
1583763075138629082,1.21439500524,-0.206364753661,0.613423043984
1583763075242177738,1.21473401975,-0.207876049065,0.613610235339
1583763075340792601,1.21558996195,-0.205324962268,0.615505004212
1583763075440225117,1.21517756787,-0.20736405946,0.613955588048
1583763075540347100,1.21453424507,-0.207227008885,0.613816302868
